Coin,price,24h_volume,Market_Cap
cDAI,$0.022169285914,"$30,017.13","$555,361,711"
OKC,$30.46,"$6,174,893","$544,731,760"
THORChain,$1.80,"$89,532,789","$542,298,908"
Radix,$0.052767740294,"$1,365,657","$532,494,032"
ImmutableX,$0.668645,"$38,916,326","$530,737,138"
Tokenize Xchange,$6.62,"$9,593,786","$529,759,352"
Arweave,$10.29,"$49,639,210","$515,631,581"
PAX Gold,"$1,909.08","$11,470,992","$513,085,521"
Osmosis,$0.979377,"$34,607,109","$512,562,477"
Flare,$0.045618337365,"$37,230,047","$501,576,325"
GMX,$59.21,"$55,982,180","$498,917,835"
BTSE Token,$3.03,"$555,267","$491,370,071"
Tether Gold,"$1,919.03","$953,324","$473,756,570"
NEXO,$0.828651,"$7,152,434","$464,128,222"
Optimism,$2.15,"$345,333,360","$462,664,370"
cETH,$31.79,$528.31,"$460,531,670"
Convex Finance,$6.11,"$10,033,905","$453,364,210"
Enjin Coin,$0.445524,"$49,875,405","$445,494,161"
Zilliqa,$0.027503823440,"$64,769,592","$442,066,507"
Terra,$2.07,"$53,840,592","$428,414,776"
GALA,$0.055409015491,"$366,266,652","$417,853,288"
